"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"115","FORTIN 2 S02",38870,17,1,17,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,3,2,1,2,3,1,1,0,0,1,1,0,1,144000,1,0,1,-79.9532,-2.10929,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"116","FORTIN 2 S02",38813,9,1,9,"2015-06-03",127,6.28487247877996,6.33267642054939,3.22420095424718,1,2,2,1,2,4,1,0,0,0,1,1,0,1,100920,1,0,1,-79.95246,-2.11025,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"117","FORTIN 2 S02",41057,6,1,6,"2015-07-03",131,6.28487247877996,6.33267642054939,3.22420095424718,1,4,4,1,3,3,0,0,0,0,1,1,1,1,180000,1,0,1,-79.95055,-2.11145,0,0,0,0,0.080538297099149,0
"118","FORTIN 2 S02",38750,9,1,9,"2015-06-02",127,6.28487247877996,6.33267642054939,3.22420095424718,1,0,3,0,0,4,1,1,0,0,0,1,0,1,108000,1,0,1,-79.95279,-2.11096,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"119","FORTIN 2 S02",38785,4,1,4,"2015-06-03",127,6.28487247877996,6.33267642054939,3.22420095424718,1,1,4,1,2,4,1,0,0,0,1,1,0,1,269120,1,0,146,-79.95328,-2.10993,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"120","FORTIN 2 S02",40954,2,1,2,"2015-07-02",131,6.28487247877996,6.33267642054939,3.22420095424718,1,1,4,1,3,3,0,0,0,0,1,1,0,1,144000,1,0,1,-79.95213,-2.11064,0,0,0,0,0.080538297099149,0
"121","FORTIN 2 S02",38793,24,2,12,"2015-06-03",127,6.28487247877996,6.33267642054939,3.22420095424718,1,0,5,1,2,4,1,0,0,0,0,1,0,1,151380,1,0,2,-79.95315,-2.1092,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"122","FORTIN 2 S02",38869,2,1,2,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,4,2,1,2,3,1,1,0,0,1,1,0,1,108000,1,0,1,-79.95328,-2.10934,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"123","FORTIN 2 S02",38694,14,1,14,"2015-06-01",127,6.28487247877996,6.33267642054939,3.22420095424718,1,1,4,1,2,4,1,0,0,0,0,1,0,1,300,1,1,1,-79.95317,-2.11028,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"124","FORTIN 2 S02",41075,7,1,7,"2015-07-03",131,6.28487247877996,6.33267642054939,3.22420095424718,1,3,4,1,3,3,0,0,0,0,1,1,0,1,144000,1,0,1,-79.95029,-2.11201,0,0,0,0,0.080538297099149,0
"125","FORTIN 2 S02",38911,4,1,4,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,3,2,1,2,3,1,1,0,0,1,1,0,1,3000,1,1,1,-79.95184,-2.10944,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"126","FORTIN 2 S02",47465,4,1,4,"2016-07-14",185,6.28487247877996,6.33267642054939,3.22420095424718,1,3,4,0,0,3,1,0,1,0,0,1,0,1,151250,1,0,1,-79.95178,-2.10586,0.100000001490116,0,0,0,0,0
"127","FORTIN 2 S02",47429,5,1,5,"2016-07-13",185,6.28487247877996,6.33267642054939,3.22420095424718,1,1,6,0,0,4,1,0,1,1,1,1,0,1,151250,1,0,1,-79.9528,-2.10544,0.100000001490116,0,0,0,0,0
"128","FORTIN 2 S02",38965,16,1,16,"2015-06-05",127,6.28487247877996,6.33267642054939,3.22420095424718,1,2,2,1,2,4,1,0,0,0,0,1,0,1,2000,1,1,1,-79.94949,-2.1119,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"129","FORTIN 2 S02",38689,6,1,6,"2015-06-01",127,6.28487247877996,6.33267642054939,3.22420095424718,1,0,5,1,12,3,1,1,0,0,0,1,0,1,67280,0,0,1,-79.95322,-2.11083,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"130","FORTIN 2 S02",47411,5,1,5,"2016-07-13",185,6.28487247877996,6.33267642054939,3.22420095424718,1,1,4,0,0,1,1,1,1,0,1,1,0,1,151250,1,0,1,-79.95319,-2.10521,0.100000001490116,0,0,0,0,0
"131","FORTIN 2 S02",38898,7,1,7,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,0,2,1,2,3,1,1,0,0,1,1,0,1,32000,1,0,1,-79.95197,-2.10958,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"132","FORTIN 2 S02",37335,11,1,11,"2015-05-08",123,6.28487247877996,6.33267642054939,3.22420095424718,1,0,3,1,2,3,1,0,0,0,0,1,0,1,125000,1,0,1,-79.95066,-2.1172,40.5392356078982,18.3916150567124,13.1224641646427,0.738923405561065,0.741614885697937,0.491614897298017
"133","FORTIN 2 S02",38944,6,1,6,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,2,2,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,-79.94948,-2.11101,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"134","FORTIN 2 S02",41103,6,1,6,"2015-07-03",131,6.28487247877996,6.33267642054939,3.22420095424718,1,2,4,1,3,3,0,0,0,0,1,1,0,1,108000,1,0,1,-79.94956,-2.11191,0,0,0,0,0.080538297099149,0
"135","FORTIN 2 S02",16710,1,1,1,"2015-03-09",115,6.28487247877996,6.33267642054939,3.22420095424718,1,0,2,1,8,4,0,0,0,0,1,1,0,1,97470,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461,1.40838512686469,13.3305386031282,0.59161487313531
"136","FORTIN 2 S02",38933,8,1,8,"2015-06-04",127,6.28487247877996,6.33267642054939,3.22420095424718,1,1,3,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,-79.94961,-2.11178,0.080538297099149,0,0.938923393640136,7.48354041209132,40.5392356078982,18.3916150567124
"138","FORTIN 2 S02",45904,3,1,3,"2016-06-28",183,6.28487247877996,6.33267642054939,3.22420095424718,1,2,4,0,0,3,1,1,0,0,1,1,0,1,151250,1,1,1,-79.95702,-2.10762,0,0,0,0,0.433619132882999,0
"140","FORTIN 4 S04",2958,16,1,16,"2014-05-21",73,5.04916961196096,8.39539310440567,3.78849559896781,1,2,4,0,0,3,1,0,1,0,1,1,0,1,200,0,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169,16.8292527744231,6.69826680753495,0
"141","FORTIN 4 S04",2940,3,1,3,"2014-05-19",73,5.04916961196096,8.39539310440567,3.78849559896781,1,1,3,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169,16.8292527744231,6.69826680753495,0
"142","FORTIN 4 S04",2963,6,1,6,"2014-05-21",73,5.04916961196096,8.39539310440567,3.78849559896781,1,3,2,0,0,3,1,0,0,0,1,1,0,1,4,1,1,1,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169,16.8292527744231,6.69826680753495,0
