"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"119",2932,2,1,2,"2014-05-19",73,"Baja",1,1,2,0,0,3,1,0,1,0,1,1,0,0,2,1,1,64,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"120",2943,1,1,1,"2014-05-19",73,"Baja",1,3,2,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"121",3596,4,1,4,"2014-06-19",77,"Media",1,0,3,0,0,3,1,1,0,0,1,1,1,1,48000,1,0,1,-79.90328,-2.19952,0,0,0.453199970434668
"122",3597,2,1,2,"2014-06-19",77,"Media",1,0,4,0,0,3,1,1,0,0,1,1,0,1,24000,1,0,1,-79.90328,-2.1994,0,0,0.453199970434668
"123",3592,1,1,1,"2014-06-19",77,"Media",1,0,2,0,0,3,1,1,0,0,1,1,0,1,106260,1,0,1,-79.90411,-2.19928,0,0,0.453199970434668
"124",3504,2,1,2,"2014-06-17",77,"Media",1,0,2,0,0,3,1,1,0,0,1,1,0,1,396000,1,0,1,-79.8999,-2.19712,0,0,0.453199970434668
"125",3583,2,1,2,"2014-06-19",77,"Media",1,0,2,0,0,3,1,1,1,0,1,1,1,1,297000,1,0,1,-79.90205,-2.19751,0,0,0.453199970434668
"126",3561,5,1,5,"2014-06-19",77,"Media",1,3,2,0,0,3,1,1,0,0,1,1,0,1,192280,0,0,1,-79.90377,-2.19692,0,0,0.453199970434668
"127",892,6,1,6,"2014-04-03",66,"Baja",1,1,4,0,0,3,1,1,0,0,1,0,0,1,4,1,1,1,-79.87638,-2.2805,2.56415737613084,10.8406878644379,0
"128",41504,3,1,3,"2015-10-26",148,"Baja",1,1,3,1,2,3,0,1,0,0,1,1,0,1,180000,1,0,1,-79.8822,-2.27997,0,0.100000001490116,0.057484839951752
"129",46448,13,1,13,"2016-03-04",166,"Baja",1,4,4,0,0,3,1,1,1,1,1,1,1,1,12000,1,1,146,-79.88654,-2.27419,0.949999988079071,2.375,2.77499997615814
"130",16197,49,1,49,"2015-03-18",116,"Baja",NA,4,6,1,12,3,1,1,0,0,1,1,0,1,9000,1,0,1,-79.88709,-2.28435,0.614884358667575,1.29433587615642,4.57342516780253
"131",46425,21,3,7,"2016-03-04",166,"Baja",1,4,4,0,0,3,1,1,1,1,1,1,0,1,83366.6666666667,1,0,3,-79.88645,-2.27408,0.949999988079071,2.375,2.77499997615814
"132",16258,72,1,72,"2015-03-18",116,"Baja",1,0,1,1,12,3,1,1,0,0,1,1,0,1,0,1,0,1,-79.8868,-2.2843,0.614884358667575,1.29433587615642,4.57342516780253
"133",46460,271,3,90.3333333333333,"2016-03-04",166,"Baja",1,0,6,0,0,3,1,1,1,1,0,1,0,1,43,1,1,3,-79.88766,-2.27327,0.949999988079071,2.375,2.77499997615814
"134",41495,172,1,172,"2015-10-26",148,"Baja",1,NA,1,1,2,3,0,1,0,0,1,1,0,1,384000,1,0,1,-79.88481,-2.28006,0,0.100000001490116,0.057484839951752
